epoch,train_mse,val_mae_kcal
1,0.331223,47.0933
2,0.067939,37.9672
3,0.049132,33.3479
4,0.042494,31.5226
5,0.038369,30.5396
6,0.036815,29.8151
7,0.035085,29.7376
8,0.034061,29.1129
9,0.032598,28.7495
10,0.032017,29.4325
11,0.031020,28.5311
12,0.030750,27.4420
13,0.030075,27.2415
14,0.030048,26.9995
15,0.029479,26.9436
16,0.028732,29.2601
17,0.029001,26.9457
18,0.028446,26.5982
19,0.027877,26.5034
20,0.027826,27.0916
21,0.027965,27.0729
22,0.027688,27.2214
23,0.027398,26.3082
24,0.026784,26.4728
25,0.026873,26.1218
26,0.026621,26.6039
27,0.026410,26.1736
28,0.026423,27.2690
29,0.026259,25.7979
30,0.025859,25.5801
31,0.025651,25.3617
32,0.025945,26.0802
33,0.025757,25.5795
34,0.025556,25.3043
35,0.025440,25.8203
36,0.025721,25.0562
37,0.025352,25.1862
38,0.025156,24.9319
39,0.025160,25.0605
40,0.024962,25.0460
41,0.025121,24.9421
42,0.024840,24.5007
43,0.025192,25.4059
44,0.024846,25.7042
45,0.024677,25.1600
46,0.024834,24.5864
47,0.024582,24.5902
48,0.024470,24.1617
49,0.024260,25.4914
50,0.024215,23.8777
51,0.024081,24.0403
52,0.023953,24.5677
53,0.024380,25.7826
54,0.024174,24.2885
55,0.023711,23.9289
56,0.023907,24.4086
57,0.023660,25.3043
58,0.023490,23.8726
59,0.023370,23.9729
60,0.023777,23.5598
61,0.022994,23.7741
62,0.023371,23.2907
63,0.023022,24.0060
64,0.022977,23.5054
65,0.023050,23.1470
66,0.023074,23.3936
67,0.022423,23.9621
68,0.022660,22.9147
69,0.022456,22.7246
70,0.022202,23.0486
71,0.022598,24.2208
72,0.022206,23.7871
73,0.021685,22.5225
74,0.021925,22.5573
75,0.021639,22.7743
76,0.021702,22.2820
77,0.021697,22.8660
78,0.021554,22.0429
79,0.021487,22.7772
80,0.021615,23.6688
81,0.021429,21.9386
82,0.021488,21.7361
83,0.021537,21.6085
84,0.020776,22.4867
85,0.020901,21.6737
86,0.021053,22.0527
87,0.020643,21.7118
88,0.020998,21.7970
89,0.020694,21.4977
90,0.020631,21.0339
91,0.020486,21.6314
92,0.020391,21.8155
93,0.020510,21.3050
94,0.020262,20.9526
95,0.020293,21.3368
96,0.020256,21.2630
97,0.020079,20.6598
98,0.019829,20.8191
99,0.019906,21.3724
100,0.019727,20.4894
101,0.019823,20.9894
102,0.019577,22.8087
103,0.020220,20.3515
104,0.019683,20.0757
105,0.019520,20.3098
106,0.019371,21.3236
107,0.019911,21.7022
