epoch,train_mse,val_mae_kcal
1,0.827880,136.1460
2,0.464639,82.4073
3,0.225386,58.8131
4,0.132749,49.6309
5,0.093794,40.7274
6,0.072800,37.7035
7,0.060353,36.7639
8,0.053439,32.6089
9,0.047526,30.9833
10,0.041189,29.1721
11,0.037016,28.6442
12,0.035583,27.6146
13,0.032969,26.2990
14,0.031743,26.9580
15,0.030158,25.1111
16,0.028712,25.6707
17,0.028063,25.1713
18,0.027759,25.1487
19,0.026319,24.9124
20,0.025573,23.8777
21,0.025299,22.9084
22,0.024668,22.9800
23,0.023913,22.6811
24,0.023380,23.7843
25,0.023040,22.5306
26,0.022501,21.5151
27,0.022710,25.2149
28,0.024088,22.3805
29,0.021142,21.9719
30,0.021319,21.4681
31,0.021889,19.9113
32,0.020779,20.7413
33,0.020361,20.5886
34,0.020845,20.5647
35,0.020736,20.1529
36,0.020569,19.7225
37,0.019594,20.5511
38,0.020870,19.6215
39,0.019130,19.6402
40,0.019032,24.4161
41,0.019577,18.9394
42,0.018422,20.2301
43,0.018151,19.1789
44,0.024112,20.5031
45,0.018752,19.0835
46,0.017862,19.1535
47,0.019795,21.2222
48,0.018559,19.1747
49,0.017828,18.7624
50,0.018575,18.4723
51,0.017536,18.6277
52,0.017577,19.9227
53,0.017774,18.2902
54,0.017352,18.6510
55,0.017532,20.2808
56,0.018402,20.9457
57,0.017619,18.6575
58,0.017282,18.6598
59,0.018931,19.8513
60,0.017860,21.9926
61,0.023103,19.6724
62,0.017323,18.1836
63,0.017552,18.2891
64,0.016834,19.0608
65,0.017585,18.2844
66,0.016712,19.2398
67,0.017180,18.1205
68,0.017058,18.4839
69,0.017013,18.9766
70,0.016674,18.4529
71,0.020673,18.7804
72,0.017310,18.8510
73,0.017413,22.1248
74,0.018711,17.9775
75,0.016584,18.4169
76,0.018342,19.4916
77,0.018601,19.8236
78,0.017142,19.8592
79,0.016673,20.3991
80,0.017856,17.9915
81,0.016406,18.2319
82,0.017152,21.9658
83,0.017279,18.1408
84,0.016986,18.8748
85,0.016539,18.1768
86,0.016525,18.7793
87,0.017128,20.1641
88,0.017955,19.1668
89,0.016645,17.8203
90,0.016363,18.4549
91,0.016392,20.2434
92,0.016931,17.8238
93,0.017009,18.9884
94,0.017856,20.9894
95,0.017582,17.8443
96,0.016937,19.4765
97,0.016546,18.2249
98,0.016213,18.0552
99,0.016574,18.5123
100,0.016205,18.8504
101,0.016473,18.0875
102,0.016760,18.5252
103,0.016593,19.8698
104,0.017157,17.8479
105,0.017266,17.7276
106,0.016143,18.3139
107,0.015927,18.0193
108,0.016248,18.4580
109,0.020910,17.6716
110,0.016404,18.8049
111,0.017261,18.0169
112,0.016655,18.3497
113,0.016290,17.6676
114,0.016465,19.0991
115,0.018532,17.3856
116,0.016065,19.1376
117,0.016056,19.7277
